Date,Weighted,Equity,Event,Macro,Relative
17-Jun,0.20%,0.83%,0.72%,-1.43%,0.22%
17-Jul,1.14%,1.54%,0.99%,0.70%,0.72%
17-Aug,0.80%,1.16%,0.06%,1.07%,-0.04%
17-Sep,0.50%,1.19%,0.83%,-1.04%,0.39%
17-Oct,1.48%,1.54%,0.90%,2.45%,0.49%
17-Nov,0.28%,0.55%,-0.41%,0.10%,0.14%
17-Dec,0.82%,1.00%,1.03%,0.54%,0.55%
18-Jan,2.68%,3.36%,1.54%,3.17%,1.10%
18-Feb,-1.72%,-1.83%,-0.36%,-4.09%,0.00%
18-Mar,-0.42%,-0.53%,-0.83%,-0.07%,-0.22%
18-Apr,0.23%,0.04%,0.43%,0.27%,0.55%
18-May,0.42%,0.83%,1.08%,-0.98%,0.26%
18-Jun,-0.41%,-0.96%,0.75%,-0.05%,0.02%
18-Jul,0.30%,0.39%,0.61%,-0.13%,0.51%
18-Aug,-0.05%,-0.34%,0.40%,0.33%,-0.14%
18-Sep,-0.09%,-0.46%,0.70%,-0.03%,0.27%
18-Oct,-2.65%,-4.33%,-1.93%,-1.71%,-0.38%
18-Nov,-0.54%,-0.28%,-0.44%,-1.03%,-0.51%
18-Dec,-1.37%,-2.66%,-2.61%,0.85%,-0.75%
19-Jan,2.88%,4.58%,3.43%,0.18%,1.99%
19-Feb,0.94%,1.48%,0.73%,0.28%,0.53%
19-Mar,0.80%,0.37%,0.17%,2.07%,0.51%
19-Apr,1.26%,1.42%,1.32%,1.38%,0.68%
19-May,-1.12%,-1.92%,-0.93%,-0.54%,-0.02%
19-Jun,1.86%,2.50%,1.31%,2.15%,0.20%
19-Jul,0.61%,0.48%,0.44%,1.45%,0.26%
19-Aug,-0.61%,-1.45%,-0.98%,1.79%,-0.50%
19-Sep,-0.14%,0.08%,0.46%,-1.61%,0.31%
19-Oct,0.51%,1.38%,0.42%,-1.01%,-0.15%
19-Nov,0.83%,1.33%,1.09%,0.27%,-0.05%
19-Dec,1.75%,2.47%,1.32%,0.63%,1.26%
20-Jan,-0.23%,-0.92%,0.01%,0.47%,0.69%
20-Feb,-1.90%,-2.85%,-1.76%,-1.07%,-0.47%
20-Mar,-7.95%,-8.87%,-12.22%,-1.79%,-9.16%
20-Apr,4.14%,6.37%,4.65%,0.63%,1.81%
20-May,2.06%,2.80%,2.12%,-0.10%,2.21%
20-Jun,1.67%,2.31%,1.80%,-0.50%,1.95%
20-Jul,2.62%,3.46%,1.07%,2.67%,1.61%
20-Aug,1.93%,2.80%,2.14%,0.29%,1.20%
20-Sep,-0.97%,-1.37%,-0.16%,-1.41%,-0.10%
20-Oct,0.09%,0.17%,0.40%,-0.39%,0.19%
20-Nov,5.29%,7.60%,6.24%,1.52%,2.82%
20-Dec,4.13%,5.17%,4.96%,3.28%,1.95%
21-Jan,0.83%,0.72%,2.17%,-0.29%,1.27%
21-Feb,3.62%,4.58%,4.45%,2.87%,1.46%
21-Mar,0.68%,0.43%,1.21%,1.23%,0.49%
21-Apr,2.31%,2.83%,2.45%,2.19%,0.99%
21-May,1.26%,1.19%,1.27%,1.98%,0.79%
21-Jun,0.38%,0.93%,0.49%,-1.19%,0.29%
21-Jul,-0.71%,-0.97%,-0.97%,-0.28%,-0.23%
21-Aug,0.56%,0.68%,0.75%,0.33%,0.38%
21-Sep,-0.32%,-1.18%,-0.21%,0.72%,0.83%
21-Oct,1.55%,2.01%,1.67%,1.56%,0.54%
21-Nov,-1.55%,-1.50%,-1.23%,-2.77%,-0.62%
21-Dec,0.98%,1.50%,1.16%,0.36%,0.32%
22-Jan,-1.65%,-4.00%,-2.29%,1.83%,0.28%
22-Feb,0.12%,-0.55%,-0.30%,1.69%,0.14%
22-Mar,1.68%,-0.19%,0.65%,6.16%,1.29%
22-Apr,-1.01%,-4.15%,-2.42%,4.01%,0.47%
22-May,-0.52%,-0.53%,-1.23%,-0.10%,-0.65%
